Date,Station,Latitude,Longitude,Elevation,Date,Average Wind Speed,Time of Fastest Wind,Peak Gust Time,Average Temperature,Maximum Temperature,Minimum Temperature,Direction Fastest 2-Minute Wind,Direction Fastest 5-Minute Wind,Fastest 2-Minute Wind Speed,Fastest 2-Minute Wind Speed,"Fog, Ice, Freezing Fog",Heavy Fog or Heavy Freezing Fog,Thunder,"Ice Pellets, Sleet or Small Hail",Hail,Glaze or Rime,"Dust, Volcanic Ash or Blowing Dust",Smoke or Haze,Blowing or Drifting Snow,High or Damaging Winds,Mist,Drizzle,Freezing Drizzle,Rain,Freezing Rain,"Snow, Snow Pellets or Ice Crystals",Unknown Precipitation,Ground Fog,Ice fog or Freezing Fog
0,USW00094846,41.96017,-87.93164,204.8,2010-01-01,10.29,2359.0,2351.0,,16.0,5.0,320.0,320.0,15.0,19.9,,,,,,,,,,,,,,,,1.0,,,
1,USW00094846,41.96017,-87.93164,204.8,2010-01-02,11.86,928.0,2206.0,,11.0,2.0,340.0,330.0,17.9,21.9,,,,,,,,,,,,,,,,,,,
2,USW00094846,41.96017,-87.93164,204.8,2010-01-03,10.29,2114.0,1917.0,,18.0,-1.0,330.0,340.0,16.1,19.9,,,,,,,,,,,,,,1.0,,1.0,,,
3,USW00094846,41.96017,-87.93164,204.8,2010-01-04,11.41,1644.0,1300.0,,18.0,7.0,310.0,360.0,17.0,21.9,,,,,,,,,,,,,,1.0,,1.0,,,
4,USW00094846,41.96017,-87.93164,204.8,2010-01-05,8.5,1518.0,1500.0,,23.0,13.0,340.0,340.0,16.1,21.0,,,,,,,,,,,,,,1.0,,1.0,,,
5,USW00094846,41.96017,-87.93164,204.8,2010-01-06,5.37,1114.0,1129.0,,20.0,10.0,320.0,310.0,12.1,14.1,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,
6,USW00094846,41.96017,-87.93164,204.8,2010-01-07,5.59,1250.0,1952.0,,22.0,16.0,330.0,300.0,13.0,15.0,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0
7,USW00094846,41.96017,-87.93164,204.8,2010-01-08,13.65,722.0,758.0,,27.0,11.0,340.0,340.0,23.0,29.1,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,1.0
8,USW00094846,41.96017,-87.93164,204.8,2010-01-09,8.5,647.0,1107.0,,22.0,6.0,320.0,10.0,15.0,17.9,,,,,,,,,,,,,,,,,,,
9,USW00094846,41.96017,-87.93164,204.8,2010-01-10,11.18,1842.0,2054.0,,18.0,0.0,210.0,220.0,23.9,31.1,,,,,,,,,,,,,,,,1.0,,,
10,USW00094846,41.96017,-87.93164,204.8,2010-01-11,12.3,1808.0,1616.0,,26.0,15.0,340.0,320.0,21.0,30.0,,,,,,,,,,,,,,1.0,,1.0,,,
11,USW00094846,41.96017,-87.93164,204.8,2010-01-12,8.72,6.0,5.0,,31.0,20.0,330.0,330.0,17.9,23.0,,,,,,,,,,,,,,1.0,,1.0,,,
12,USW00094846,41.96017,-87.93164,204.8,2010-01-13,14.09,1147.0,1833.0,,35.0,19.0,220.0,220.0,19.9,25.9,,,,,,,,,,,,,,,,,,,
13,USW00094846,41.96017,-87.93164,204.8,2010-01-14,10.74,1158.0,1303.0,,40.0,31.0,240.0,230.0,17.0,21.9,1.0,,,,,,,1.0,,,1.0,,,,,,,,
14,USW00094846,41.96017,-87.93164,204.8,2010-01-15,6.04,2044.0,2043.0,,34.0,25.0,210.0,200.0,14.1,17.0,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,
15,USW00094846,41.96017,-87.93164,204.8,2010-01-16,7.16,628.0,627.0,,27.0,23.0,200.0,210.0,15.0,17.0,1.0,,,,,,,,,,1.0,,,,,,,,
16,USW00094846,41.96017,-87.93164,204.8,2010-01-17,5.37,2239.0,2238.0,,29.0,19.0,290.0,300.0,13.0,17.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
17,USW00094846,41.96017,-87.93164,204.8,2010-01-18,6.71,2249.0,422.0,,31.0,27.0,310.0,280.0,12.1,15.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,
18,USW00094846,41.96017,-87.93164,204.8,2010-01-19,4.03,315.0,2225.0,,38.0,27.0,320.0,50.0,8.9,16.1,1.0,,,,,,,,,,1.0,,,,,,,,
19,USW00094846,41.96017,-87.93164,204.8,2010-01-20,14.99,1855.0,1715.0,,33.0,24.0,100.0,70.0,25.1,32.0,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,
20,USW00094846,41.96017,-87.93164,204.8,2010-01-21,15.21,152.0,1139.0,,35.0,30.0,90.0,60.0,25.1,36.0,,,,,1.0,,,,,,,,,1.0,,,,,
21,USW00094846,41.96017,-87.93164,204.8,2010-01-22,9.84,33.0,901.0,,35.0,33.0,40.0,60.0,16.1,25.1,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,
22,USW00094846,41.96017,-87.93164,204.8,2010-01-23,12.08,1911.0,1903.0,,44.0,34.0,140.0,160.0,17.0,23.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,
