"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094846","41.96017","-87.93164","204.8","2010-01-01","10.29"," 2359"," 2351",,"16","5","  320","  320","15.0","19.9",,,,,,,,,,,,,,,,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-02","11.86"," 0928"," 2206",,"11","2","  340","  330","17.9","21.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-03","10.29"," 2114"," 1917",,"18","-1","  330","  340","16.1","19.9",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-04","11.41"," 1644"," 1300",,"18","7","  310","  360","17.0","21.9",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-05","8.50"," 1518"," 1500",,"23","13","  340","  340","16.1","21.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-06","5.37"," 1114"," 1129",,"20","10","  320","  310","12.1","14.1","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-07","5.59"," 1250"," 1952",,"22","16","  330","  300","13.0","15.0","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","41.96017","-87.93164","204.8","2010-01-08","13.65"," 0722"," 0758",,"27","11","  340","  340","23.0","29.1","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","41.96017","-87.93164","204.8","2010-01-09","8.50"," 0647"," 1107",,"22","6","  320","   10","15.0","17.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-10","11.18"," 1842"," 2054",,"18","0","  210","  220","23.9","31.1",,,,,,,,,,,,,,,,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-11","12.30"," 1808"," 1616",,"26","15","  340","  320","21.0","30.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-12","8.72"," 0006"," 0005",,"31","20","  330","  330","17.9","23.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-13","14.09"," 1147"," 1833",,"35","19","  220","  220","19.9","25.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-14","10.74"," 1158"," 1303",,"40","31","  240","  230","17.0","21.9","    1",,,,,,,"    1",,,"    1",,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-15","6.04"," 2044"," 2043",,"34","25","  210","  200","14.1","17.0","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-16","7.16"," 0628"," 0627",,"27","23","  200","  210","15.0","17.0","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-17","5.37"," 2239"," 2238",,"29","19","  290","  300","13.0","17.0","    1","    1",,,,,,,"    1",,"    1",,,,,"    1",,,"    1"
"USW00094846","41.96017","-87.93164","204.8","2010-01-18","6.71"," 2249"," 0422",,"31","27","  310","  280","12.1","15.0","    1",,,,,,,,,,"    1",,,,,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-19","4.03"," 0315"," 2225",,"38","27","  320","   50","8.9","16.1","    1",,,,,,,,,,"    1",,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-20","14.99"," 1855"," 1715",,"33","24","  100","   70","25.1","32.0",,,"    1","    1","    1",,,,,,,,,"    1","    1",,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-21","15.21"," 0152"," 1139",,"35","30","   90","   60","25.1","36.0",,,,,"    1",,,,,,,,,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-22","9.84"," 0033"," 0901",,"35","33","   40","   60","16.1","25.1","    1",,,,,,,"    1",,,"    1","    1",,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-23","12.08"," 1911"," 1903",,"44","34","  140","  160","17.0","23.0","    1",,,,,,,,,,"    1","    1",,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-24","14.09"," 0857"," 0856",,"46","30","  190","  190","25.1","31.1","    1",,,,"    1",,,,,,"    1","    1",,"    1",,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-25","13.42"," 1934"," 1933",,"32","19","  260","  260","25.9","38.0","    1",,,,,,,,"    1",,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-26","14.32"," 0218"," 2028",,"24","12","  270","  250","21.9","30.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-27","12.75"," 2354"," 2227",,"23","9","  280","  280","21.9","33.1","    1",,,,,,,"    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-28","11.63"," 0133"," 0132",,"17","6","  300","  300","25.1","32.0",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-29","4.70"," 1706"," 2004",,"21","5","   50","   40","10.1","17.9","    1",,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-30","5.82"," 1031"," 1234",,"25","18","  110","   60","13.0","25.9",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-01-31","7.38"," 1221"," 1237",,"29","15","  250","  280","17.0","21.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-01","4.03"," 2249"," 1738",,"30","14","  130","   60","8.9","17.0",,,,,,,,"    1",,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-02","7.16"," 2330"," 1920",,"32","25","  270","  280","14.1","21.0","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-03","5.59"," 0012"," 1733",,"32","23","  270","   50","14.1","21.9","    1",,,,,,"    1","    1",,,"    1",,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-04","6.26"," 2253"," 2318",,"33","21","  100","  110","14.1","23.0","    1",,,,,,"    1","    1",,,"    1",,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-05","14.99"," 2305"," 2231",,"35","30","   40","   50","25.9","36.9","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-06","15.21"," 0001"," 0000",,"31","25","   30","   30","28.0","36.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-07","5.82"," 1458"," 1239",,"31","23","  110","   50","13.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
